ref_id,ref_x,ref_y,LoS/nLos,direction,ue_setting,distance,req_ue_id,resp_date,ECI,cell-Portion-ID1,sector1,atsectorborder1,rds-SRSRP1, rds_SRSRP-Deviation1,cell-Portion-ID2,sector2,atsectorborder2,rds-SRSRP2,rds_SRSRP-Deviation2,cell-Portion-ID3,sector3,atsectorborder3,rds-SRSRP3,rds_SRSRP-Deviation3,cell-Portion-ID4,sector4,atsectorborder4,rds-SRSRP4,rds_SRSRP-Deviation4,cell-Portion-ID5,sector5,atsectorborder5,rds-SRSRP5,rds_SRSRP-Deviation5,cell-Portion-ID6,sector6,atsectorborder6,rds-SRSRP6,rds_SRSRP-Deviation6,cell-Portion-ID7,sector7,atsectorborder7,rds-SRSRP7,rds_SRSRP-Deviation7,cell-Portion-ID8,sector8,atsectorborder8,rds-SRSRP8,rds_SRSRP-Deviation8
D01,47.47112926,19.06261554,LoS,1,H,11.35102776,4.66016E+13,2.02004E+13,154120047,5,2,yes,-79,8,6,2,no,-98,8,8,2,yes,-102,8,22,1,no,-103,8,7,2,no,-105,10,21,1,yes,-105,8,23,1,no,-106,8,24,1,yes,-107,8
D01,47.47112926,19.06261554,LoS,1,H,12.31660194,4.66016E+13,2.02004E+13,154120047,5,2,yes,-82,8,6,2,no,-98,8,8,2,yes,-102,8,7,2,no,-103,8,22,1,no,-103,8,21,1,yes,-105,8,23,1,no,-105,8,24,1,yes,-109,8
D01,47.47112926,19.06261554,LoS,1,H,11.35102776,4.66016E+13,2.02004E+13,154120047,5,2,yes,-82,8,6,2,no,-99,8,8,2,yes,-102,12,22,1,no,-103,8,7,2,no,-104,8,21,1,yes,-105,8,23,1,no,-105,8,24,1,yes,-107,12
D01,47.47112926,19.06261554,LoS,1,H,12.92369201,4.66016E+13,2.02004E+13,154120047,5,2,yes,-81,8,6,2,no,-99,8,8,2,yes,-101,8,22,1,no,-103,8,23,1,no,-103,8,21,1,yes,-104,8,7,2,no,-105,8,24,1,yes,-106,8
D01,47.47112926,19.06261554,LoS,1,H,12.92369201,4.66016E+13,2.02004E+13,154120047,5,2,yes,-81,8,6,2,no,-98,8,7,2,no,-103,8,8,2,yes,-103,8,21,1,yes,-104,10,22,1,no,-106,8,23,1,no,-106,10,24,1,yes,-107,8
D01,47.47112926,19.06261554,LoS,2,H,12.31660194,4.66016E+13,2.02004E+13,154120047,5,2,yes,-80,8,6,2,no,-100,8,8,2,yes,-101,8,22,1,no,-104,10,7,2,no,-105,8,23,1,no,-105,8,21,1,yes,-106,8,24,1,yes,-107,8
D01,47.47112926,19.06261554,LoS,2,H,11.35102776,4.66016E+13,2.02004E+13,154120047,5,2,yes,-81,8,6,2,no,-98,8,8,2,yes,-102,8,22,1,no,-103,10,7,2,no,-104,8,21,1,yes,-105,8,23,1,no,-105,8,24,1,yes,-108,12
D01,47.47112926,19.06261554,LoS,2,H,2.440723108,4.66016E+13,2.02004E+13,154120047,5,2,yes,-78,8,6,2,no,-80,8,7,2,no,-92,8,21,1,yes,-94,8,8,2,yes,-102,8,22,1,no,-102,12,23,1,no,-107,22,24,1,yes,-108,8
D01,47.47112926,19.06261554,LoS,2,H,11.35102776,4.66016E+13,2.02004E+13,154120047,5,2,yes,-81,8,6,2,no,-98,8,8,2,yes,-102,8,22,1,no,-103,8,23,1,no,-103,8,7,2,no,-104,8,21,1,yes,-105,10,24,1,yes,-107,10
D01,47.47112926,19.06261554,LoS,2,H,12.31660194,4.66016E+13,2.02004E+13,154120047,5,2,yes,-81,8,6,2,no,-100,8,8,2,yes,-102,10,22,1,no,-103,8,23,1,no,-104,8,7,2,no,-105,8,21,1,yes,-105,8,24,1,yes,-108,8
D01,47.47112926,19.06261554,LoS,3,H,7.788949126,4.66016E+13,2.02004E+13,154120047,6,2,no,-76,8,5,2,yes,-77,8,7,2,no,-88,8,21,1,yes,-100,8,8,2,yes,-102,8,22,1,no,-102,8,23,1,no,-104,8,24,1,yes,-107,10
D01,47.47112926,19.06261554,LoS,3,H,11.09776927,4.66016E+13,2.02004E+13,154120047,6,2,no,-78,8,5,2,yes,-84,8,7,2,no,-97,8,8,2,yes,-102,8,21,1,yes,-103,8,22,1,no,-104,10,23,1,no,-107,12,24,1,yes,-107,8
D01,47.47112926,19.06261554,LoS,3,H,11.04093428,4.66016E+13,2.02004E+13,154120047,6,2,no,-83,8,5,2,yes,-90,8,7,2,no,-102,8,8,2,yes,-104,10,22,1,no,-104,12,23,1,no,-104,8,21,1,yes,-105,8,24,1,yes,-107,8
D01,47.47112926,19.06261554,LoS,3,H,11.09776927,4.66016E+13,2.02004E+13,154120047,6,2,no,-83,8,5,2,yes,-90,8,7,2,no,-102,8,8,2,yes,-102,8,22,1,no,-102,8,21,1,yes,-104,8,23,1,no,-106,8,24,1,yes,-106,8
